<eObjectEntry  timestamp='1389609473630' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testAddXY'/>
<eObjectEntry  timestamp='1389609476318' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='true'/>
<eObjectEntry  timestamp='1389609481063' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.3' key='junit test launch' value='testAddSameXY'/>
<eObjectEntry  timestamp='1389609482599' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.3' key='test run status' value='true'/>
<eObjectEntry  timestamp='1389609487425' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testRectangle'/>
<eObjectEntry  timestamp='1389609488984' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='true'/>
<eObjectEntry  timestamp='1389609491190' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='junit test launch' value='testAddXYToEmpty'/>
<eObjectEntry  timestamp='1389609493029' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='true'/>
<eObjectEntry  timestamp='1389609940850' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.4' key='junit test launch' value='testAddRectangleToEmpty'/>
<eObjectEntry  timestamp='1389609942402' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.4' key='test run status' value='false'/>
<eObjectEntry  timestamp='1389610067993' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.4' key='junit test launch' value='testAddRectangleToEmpty'/>
<eObjectEntry  timestamp='1389610069587' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.4' key='test run status' value='false'/>
